die;;Flasche;~;~n;noun;;1;bottle
das;;Fleisch;~s, ~es;–;noun;food;1;meat
die;;Frage;~;~n;noun;;1;question
das;;Französisch;~en;–;noun;lang;1;French
die;;Frau;~;~en;noun;pers;1;woman, wife
;;frei;~er;~sten;adj;;2;free
der;;Freund;~s, ~es;~e;noun;pers, fam;2;friend
die;;Freundin;~;~nen;noun;pers, fam;2;girlfriend
;;früh;;;adj;;2;early
das;;Frühstück;~s, ~es;~e;noun;;1;breakfast
w;;funktionieren;;;verb;mech;2;to function
;;fünf;;;num;;1;five
;;ganz;;;adj;;2;whole, complete
der;;Gast;~es, ~s;⍨e;noun;pers;2;guest
s7;;gefallen;;;verb;;3;to please
der;;Gegner;~s;~;noun;;3;adversary, opponent
s7;;gehen;;;verb;;1;to go
;;gelb;;;adj;;1;yellow
die;;Gemeinde;~;~n;noun;conc;1;town, community
der;;General;~s;⍨;noun;job, pers;2;general (rank)
die;;Generation;~;~en;noun;conc;2;generation
das;;Gerät;~s, ~es;~e;noun;conc;3;appliance
der;;Geschäftsführer;~s;~;noun;job, pers;3;managing director
das;;Geschlecht;~es, ~s;~er;noun;conc;2;gender, sex
der;;Geschmack;~es, ~s;⍨er;noun;conc;1;taste, flavor
–;;Geschwister;;–;noun;pers, fam;1;siblings
;;gesund;;;adj;pers, anim;1;healthy
das;;Glas;~es;⍨er;noun;mat;1;glass
;;gleichzeitig;–;–;adj;;3;simultaneous, concurrent,
;;groß;⍨er;⍨ten;adj;;1;big, great
–;;Großeltern;–;–;noun;pers, fam;1;grandparents
die;;Großmutter;–;⍨;noun;pers, fam;1;grandmother
der;;Großvater;~s;⍨;noun;pers, fam;1;grandfather
die;;Größe;~;~n;noun;;2;size, quantity
die;;Gruppe;~;~n;noun;grou;2;group
der;;Gruß;~es;~e;noun;conc;2;greeting
;;grün;~er;~sten;adj;col;1;green
;;gut;;;adj;;1;good, well
das;;Gut;~es, ~s;⍨er;noun;;3;goods, property
;;gutgehen;;;;;100;
ir;;haben;;;verb;;1;to have
das;;Hähnchen;~s;~;noun;anim;1;chicken
die;;Hälfte;~;~n;noun;num;2;half
